brand,style,followers,engagement_rate,posts_per_week,top_content
Paloma Wool,Artsy Minimalist,480000,1.8,4,Reels
Baserange,Sustainable Basics,120000,2.1,3,Carousel
Toteme,Quiet Luxury,890000,1.2,5,Static
Nanushka,Contemporary,320000,1.5,4,Reels
Studio Nicholson,Minimalist,280000,1.9,3,Static
Aeron,Eastern European,95000,2.4,5,Reels
Rejina Pyo,Asian Influenced,180000,2.2,4,Carousel
Remain,Copenhagen Chic,210000,1.7,4,Reels
Simone Rocha,Feminine Artistic,650000,2.8,3,Static
Jacquemus,Mediterranean,4200000,3.1,6,Reels
